BASIN,SUB,BLOCK,AMGO,AMRO,BAEA,BCCH,BEKI,BEWR,BGWA,BHGR,BRCR,BTPI,BUSH,CBCH,CEWA,COME,CONI,CORA,COYE,DEJU,DOWO,EVGR,GBHE,GCKI,GRJA,HAFL,HAWO,HEWA,HOWR,HUVI,MALL,MAMU,MGWA,MOQU,NOFL,OCWA,OSFL,PIWO,PUFI,PYOW,RBNU,RBSA,RECR,RSTO,RTHA,RUGR,RUHU,SCOW,SOSP,SSHA,STJA,SWTH,TRSW,VATH,VGSW,WAVI,WCSP,WEFL,WETA,WIFL,WIWA,WIWR,WODU,WREN,WWPE,VAREA,FAREA,SAREA,DAREA,MVWIDTH,MFWIDTH,MSWIDTH,MVCON,MFCON,CVWIDTH,CFWIDTH,CSWIDTH,CVCON,CFCON,B,CCP,CLS,COP,G,HCP,HCS,HLS,HOP,HSH,HSS,HSW,HW,MCP,MCS,MGF,MLS,MOP,MOS,MSH,NPATCH,MPSIZE,MPSHAPE,MPFRAC,CPSIZE,TEDGE,LFRAC,PRICH,SHANNON,SIMPSON,SHEVEN,SIEVEN,AMPSHAPE,CONEDGE
D,AL,11,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,6,0,1,0,1,0,0,1,0,6,4,0,0,0,1.38,1.041,0.556,4.604,3.364,2.969,2.433,1.33,1.525,61.20265695,42.4243175,24.99809473,87.81672689,39.25003717,0.27,0.09,0,0,0,0.14,0,0,0,0,0,0.03,0,0.33,0,0,0,0.14,0,0,8,0.125,1.261104091,1.450421007,83.90470785,377,1.288170675,6,0.69131087,0.77,0.88840167,0.924,1.238675826,6.3
D,AL,12,0,2,0,0,0,0,0,1,0,1,2,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,6,0,0,0,0,0,0,0,2,0,0,0,0,9,0,1,12,0,0,0,7,0,0,0,0,9,2,0,0,0,1.462,1.462,0.69,4.591,3.444,3.444,2.603,1.188,1.188,11.47576606,11.47576606,0,14.34438276,14.34438276,0,0,0,0,0,0.02,0,0,0,0,0,0.28,0,0.68,0,0,0,0.02,0,0,5,0.2,1.358586836,1.471512797,83.14144574,265,1.211622937,4,0.336648491,0.4584,0.55916104,0.6112,1.313796567,0
D,AL,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,0,4,0,0,2,5,0,0,0,1.556,1.556,0.732,4.576,3.509,3.512,2.644,1.17,1.167,34.16656448,33.62006852,19.16531915,11.73425875,11.43811122,0,0,0,0,0,0.71,0,0,0,0,0,0.04,0,0.2,0,0,0,0.05,0,0,5,0.2,1.280907595,1.446298324,144.7843224,234,1.184607929,4,0.366369673,0.4518,0.608526856,0.6024,1.243139497,7
D,AL,14,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,0,3,6,0,0,0,6,0,6,0,0,4,7,0,0,0,1.898,1.898,0.839,4.449,3.895,3.891,2.779,0.949,0.949,21.65093882,21.48064076,0,16.28713845,16.28713845,0,0.07,0,0.01,0,0.61,0,0,0.1,0,0,0,0,0.09,0,0,0,0.12,0,0,7,0.142857143,1.356703401,1.492860785,146.8173468,356,1.275724999,6,0.536408362,0.5904,0.689336889,0.70848,1.478075658,16.15
D,AL,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,3,0,0,0,1,0,4,0,0,2,3,0,0,0,1.799,1.756,0.845,4.449,3.805,3.768,2.779,1.021,1.086,9.935100793,26.0570513,0,11.36972052,37.8339252,0,0,0,0.05,0,0.65,0,0,0,0,0,0,0,0.18,0,0,0,0.12,0,0,4,0.25,1.386602781,1.436139821,108.7627387,222,1.173176487,4,0.431207018,0.5282,0.716219353,0.704266667,1.258568131,14.85
D,AL,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,2,1,8,0,0,0,2,0,0,0,1.82,1.146,0.724,4.428,3.813,3.162,2.664,0.908,1.606,4.228826283,64.14163875,21.00199528,25.23883579,35.3147759,0,0,0,0,0,0.73,0,0,0,0,0,0,0,0.26,0,0,0,0.01,0,0,4,0.25,1.457723572,1.524143396,134.85795,174,1.120274624,3,0.271881242,0.3994,0.569836785,0.5991,1.243262212,1.7
D,BC,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,8,0,0,0,2,0,0,0,10,0,0,0,1.114,1.114,0.544,4.324,3.08,3.08,2.479,1.415,1.415,0,0,27.2165527,26.12789059,26.12789059,0,0,0,0,0,0,0,0.51,0,0,0,0,0,0,0,0,0.49,0,0,0,3,0.333333333,1.406274836,1.403928197,55.66866264,201,1.151598029,2,0.300943131,0.4998,0.999711442,0.9996,1.300462356,0
D,BC,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,6,0,0,0,2,0,0,2,10,0,0,0,1.114,1.114,0.613,4.272,3.101,3.101,2.52,1.442,1.442,19.86770725,19.86770725,24.94765462,19.18295365,19.18295365,0.07,0,0,0,0,0,0,0.55,0,0,0,0,0,0,0,0,0.38,0,0,0,4,0.25,1.479377636,1.440941289,84.72701262,273,1.218081324,3,0.383325891,0.5482,0.803413991,0.8223,1.357598411,0
D,BC,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,4,8,0,0,0,1.079,1.079,0.602,4.272,3.009,3.009,2.479,1.48,1.48,28.41446421,28.41446421,35.13641845,20.7247593,20.7247593,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,3,0.333333333,1.224273229,1.399138637,126.5819892,80,0.951544993,2,0.20472359,0.2952,0.680077046,0.5904,1.144817602,72
D,BC,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,0,0,0,1,0,5,9,0,0,0,1.204,1.204,0.663,4.26,3.179,3.179,2.569,1.405,1.405,3.759246438,3.759246438,36.14847324,36.30899801,36.30899801,0.03,0,0,0,0,0,0,0.21,0,0,0,0,0,0,0,0,0.76,0,0,0,3,0.333333333,1.369906868,1.442121843,114.0920681,157,1.097949826,3,0.27860198,0.3774,0.583922803,0.5661,1.318726728,45.9
