Ntows,s,iter
280,1.0,150.0
281,0.0,150.0
282,2.0,150.0
283,0.0,150.0
284,1.0,150.0
285,1.0,150.0
286,0.0,150.0
287,0.0,150.0
288,0.0,150.0
289,0.0,150.0
290,0.0,150.0
291,1.0,150.0
292,0.0,150.0
293,0.0,150.0
294,0.0,150.0
295,0.0,150.0
296,1.0,150.0
297,0.0,150.0
298,0.0,150.0
299,1.0,150.0
300,2.0,150.0
301,0.0,150.0
302,0.0,150.0
303,0.0,150.0
304,3.0,150.0
305,0.0,150.0
306,2.0,150.0
307,0.0,150.0
308,1.0,150.0
309,1.0,150.0
310,1.0,150.0
311,0.0,150.0
312,0.0,150.0
313,0.0,150.0
314,1.0,150.0
315,0.0,150.0
316,0.0,150.0
317,0.0,150.0
318,0.0,150.0
319,1.0,150.0
320,0.0,150.0
321,1.0,150.0
322,1.0,150.0
323,2.0,150.0
324,0.0,150.0
325,0.0,150.0
326,0.0,150.0
327,1.0,150.0
328,0.0,150.0
329,1.0,150.0
330,0.0,150.0
331,1.0,150.0
332,0.0,150.0
333,0.0,150.0
334,0.0,150.0
335,2.0,150.0
336,1.0,150.0
337,1.0,150.0
338,0.0,150.0
339,2.0,150.0
340,0.0,150.0
341,1.0,150.0
342,0.0,150.0
343,0.0,150.0
344,1.0,150.0
345,1.0,150.0
346,0.0,150.0
347,0.0,150.0
348,1.0,150.0
349,1.0,150.0
350,1.0,150.0
351,1.0,150.0
352,0.0,150.0
353,1.0,150.0
354,1.0,150.0
355,3.0,150.0
356,1.0,150.0
357,1.0,150.0
358,1.0,150.0
359,0.0,150.0
360,0.0,150.0
361,2.0,150.0
362,0.0,150.0
363,0.0,150.0
364,1.0,150.0
365,1.0,150.0
366,0.0,150.0
367,0.0,150.0
368,3.0,150.0
369,0.0,150.0
370,0.0,150.0
371,0.0,150.0
372,0.0,150.0
373,0.0,150.0
374,2.0,150.0
375,3.0,150.0
376,1.0,150.0
377,1.0,150.0
378,0.0,150.0
379,0.0,150.0
380,1.0,150.0
381,0.0,150.0
382,0.0,150.0
383,1.0,150.0
384,1.0,150.0
385,0.0,150.0
386,2.0,150.0
387,0.0,150.0
388,1.0,150.0
389,1.0,150.0
390,0.0,150.0
391,0.0,150.0
392,2.0,150.0
393,0.0,150.0
394,1.0,150.0
395,2.0,150.0
396,2.0,150.0
397,1.0,150.0
398,0.0,150.0
399,1.0,150.0
400,3.0,150.0
401,0.0,150.0
402,1.0,150.0
403,1.0,150.0
404,2.0,150.0
405,0.0,150.0
406,0.0,150.0
407,1.0,150.0
408,1.0,150.0
409,0.0,150.0
410,0.0,150.0
411,0.0,150.0
412,1.0,150.0
413,0.0,150.0
414,1.0,150.0
415,0.0,150.0
416,0.0,150.0
417,1.0,150.0
418,1.0,150.0
419,1.0,150.0
420,0.0,150.0
421,1.0,150.0
422,1.0,150.0
423,1.0,150.0
424,0.0,150.0
425,1.0,150.0
426,1.0,150.0
427,2.0,150.0
428,0.0,150.0
429,2.0,150.0
430,0.0,150.0
431,2.0,150.0
432,1.0,150.0
433,2.0,150.0
434,0.0,150.0
435,0.0,150.0
436,0.0,150.0
437,0.0,150.0
438,0.0,150.0
439,0.0,150.0
440,2.0,150.0
441,0.0,150.0
442,0.0,150.0
443,0.0,150.0
444,1.0,150.0
445,1.0,150.0
446,1.0,150.0
447,1.0,150.0
448,1.0,150.0
449,0.0,150.0
450,1.0,150.0
451,1.0,150.0
452,0.0,150.0
453,0.0,150.0
454,0.0,150.0
455,1.0,150.0
456,0.0,150.0
457,0.0,150.0
458,0.0,150.0
459,1.0,150.0
460,2.0,150.0
461,0.0,150.0
462,1.0,150.0
463,0.0,150.0
464,1.0,150.0
465,1.0,150.0
466,0.0,150.0
467,0.0,150.0
468,2.0,150.0
469,0.0,150.0
470,4.0,150.0
471,1.0,150.0
472,1.0,150.0
473,0.0,150.0
474,0.0,150.0
475,0.0,150.0
476,0.0,150.0
477,0.0,150.0
478,0.0,150.0
479,0.0,150.0
480,2.0,150.0
481,1.0,150.0
482,0.0,150.0
483,1.0,150.0
484,3.0,150.0
485,0.0,150.0
486,0.0,150.0
487,1.0,150.0
488,1.0,150.0
489,0.0,150.0
490,0.0,150.0
491,2.0,150.0
492,1.0,150.0
493,1.0,150.0
494,0.0,150.0
495,1.0,150.0
496,1.0,150.0
497,0.0,150.0
498,0.0,150.0
499,2.0,150.0
500,1.0,150.0
501,0.0,150.0
502,0.0,150.0
503,0.0,150.0
504,0.0,150.0
505,1.0,150.0
506,1.0,150.0
507,1.0,150.0
508,2.0,150.0
509,0.0,150.0
510,0.0,150.0
511,1.0,150.0
512,1.0,150.0
513,0.0,150.0
514,1.0,150.0
515,0.0,150.0
516,0.0,150.0
517,1.0,150.0
518,2.0,150.0
519,1.0,150.0
520,0.0,150.0
521,2.0,150.0
522,0.0,150.0
523,0.0,150.0
524,1.0,150.0
525,3.0,150.0
526,2.0,150.0
527,1.0,150.0
528,1.0,150.0
529,1.0,150.0
530,1.0,150.0
531,1.0,150.0
532,0.0,150.0
533,1.0,150.0
534,1.0,150.0
535,1.0,150.0
536,0.0,150.0
537,0.0,150.0
538,0.0,150.0
539,0.0,150.0
540,0.0,150.0
541,0.0,150.0
542,1.0,150.0
543,2.0,150.0
544,0.0,150.0
545,0.0,150.0
546,0.0,150.0
547,1.0,150.0
548,2.0,150.0
549,1.0,150.0
550,0.0,150.0
551,2.0,150.0
552,1.0,150.0
553,3.0,150.0
554,2.0,150.0
555,1.0,150.0
556,1.0,150.0
557,1.0,150.0
558,0.0,150.0
559,0.0,150.0
560,0.0,150.0
561,1.0,150.0
562,0.0,150.0
563,0.0,150.0
564,2.0,150.0
565,1.0,150.0
566,0.0,150.0
567,2.0,150.0
568,0.0,150.0
569,0.0,150.0
570,1.0,150.0
571,0.0,150.0
572,0.0,150.0
573,0.0,150.0
574,2.0,150.0
575,1.0,150.0
576,1.0,150.0
577,0.0,150.0
578,0.0,150.0
579,0.0,150.0
580,0.0,150.0
581,1.0,150.0
582,0.0,150.0
583,1.0,150.0
584,1.0,150.0
585,0.0,150.0
586,0.0,150.0
587,1.0,150.0
588,1.0,150.0
589,0.0,150.0
590,0.0,150.0
591,0.0,150.0
592,2.0,150.0
593,1.0,150.0
594,0.0,150.0
595,0.0,150.0
596,1.0,150.0
597,1.0,150.0
598,2.0,150.0
599,1.0,150.0
600,1.0,150.0
601,0.0,150.0
602,2.0,150.0
603,2.0,150.0
604,0.0,150.0
605,1.0,150.0
606,1.0,150.0
607,2.0,150.0
608,1.0,150.0
609,1.0,150.0
610,1.0,150.0
611,2.0,150.0
612,0.0,150.0
613,0.0,150.0
614,2.0,150.0
615,0.0,150.0
616,2.0,150.0
617,1.0,150.0
618,2.0,150.0
619,1.0,150.0
620,1.0,150.0
621,0.0,150.0
622,2.0,150.0
623,1.0,150.0
624,0.0,150.0
625,0.0,150.0
626,0.0,150.0
627,2.0,150.0
628,2.0,150.0
629,1.0,150.0
630,0.0,150.0
631,1.0,150.0
632,2.0,150.0
633,0.0,150.0
634,1.0,150.0
635,0.0,150.0
636,0.0,150.0
637,0.0,150.0
638,0.0,150.0
639,0.0,150.0
640,1.0,150.0
641,2.0,150.0
642,1.0,150.0
643,0.0,150.0
