Species,stage,sex,antseg1,antseg2,antseg3,antseg4,midfem,midtib,hindfem,hindtib
rufo,1,u,0.24,0.18,0.2,0.64,0.96,1.05,0.88,0.57
rufo,2,u,0.32,0.25,0.28,0.88,1.7,1.72,1.5,0.78
rufo,2,u,0.31,0.24,0.3,0.8,1.51,1.54,1.4,0.77
rufo,2,u,0.33,0.24,0.26,0.86,1.56,1.46,1.47,0.76
rufo,2,u,0.36,0.27,0.28,0.9,1.52,1.46,1.48,0.8
rufo,2,u,0.37,0.27,0.3,0.92,1.66,1.56,1.58,0.86
rufo,2,u,0.34,0.29,0.32,0.85,1.52,1.48,1.5,0.8
rufo,2,u,0.32,0.24,0.26,0.84,1.5,1.4,1.39,0.74
rufo,2,u,0.34,0.28,0.3,0.86,1.5,1.44,1.4,0.78
rufo,2,u,0.35,0.28,0.3,0.9,1.59,1.52,1.52,0.84
rufo,2,u,0.36,0.29,0.31,0.88,1.62,1.54,1.55,0.79
rufo,3,u,0.5,0.46,0.46,0.98,2.68,2.2,2.64,1.28
rufo,3,u,0.54,0.43,0.44,1.1,2.64,2.22,2.56,1.26
rufo,3,u,0.58,0.46,0.47,1.14,2.66,2.2,2.56,1.24
rufo,3,u,0.54,0.47,0.46,1.14,2.8,2.24,2.48,1.36
rufo,3,u,0.52,0.45,0.47,1.1,2.82,2.16,2.6,1.28
rufo,3,u,0.6,0.46,0.46,1.14,2.8,2.32,2.72,1.36
rufo,3,u,0.54,0.46,0.46,1.08,2.32,2.2,2.54,1.2
rufo,3,u,0.56,0.47,0.46,1.14,2.7,2.26,2.6,1.34
rufo,3,u,0.58,0.45,0.48,1.08,2.64,2.2,2.5,1.24
rufo,3,u,0.52,0.45,0.44,1.1,2.7,2.28,2.64,1.32
rufo,4,f,0.86,0.74,0.66,1.42,4.16,3.16,4.08,2.12
rufo,4,f,0.96,0.71,0.66,1.4,4.12,3.24,4.08,2.08
rufo,4,f,0.88,0.8,0.64,1.26,4.28,3.4,4.2,2.36
rufo,4,f,0.96,0.74,0.67,1.46,4.12,3.24,4.12,2.2
rufo,4,f,0.98,0.8,0.72,1.47,4.16,3.32,4.18,2.24
rufo,4,f,1.08,0.72,0.64,1.34,4.2,3.8,3.92,2.48
rufo,4,f,0.92,0.74,0.7,1.47,3.84,3,3.84,1.94
rufo,4,f,0.92,0.78,0.74,1.4,4.14,3.28,4.16,2.2
rufo,4,f,0.86,0.78,0.74,1.44,4.1,3.36,4.14,2.24
rufo,4,f,1,0.78,0.72,1.48,4.1,3.4,3.96,2.24
rufo,4,m,0.88,0.71,0.68,1.45,4.2,3.24,4.16,2.12
rufo,4,m,0.94,0.72,0.68,1.41,4,3.16,3.96,2.08
rufo,4,m,0.98,0.76,0.68,1.38,4.16,3.34,4.24,2.22
rufo,4,m,1.06,0.82,0.76,1.36,4,3.4,4.08,2.36
rufo,4,m,1.04,0.8,0.76,1.4,4.32,3.44,4.34,2.24
rufo,4,m,1.04,0.82,0.74,1.52,4.32,3.36,4.38,2.28
rufo,4,m,0.96,0.8,0.72,1.42,4.36,3.4,4.4,2.24
rufo,4,m,0.97,0.82,0.77,1.38,4.44,3.48,4.48,2.36
rufo,4,m,0.92,0.79,0.74,1.4,4.28,3.44,4.28,2.28
rufo,4,m,0.94,0.82,0.7,1.48,4.3,3.34,4.12,2.2
rufo,5,f,1.64,1.2,1.04,1.76,5.95,4.23,6.02,3.43
rufo,5,f,1.62,1.28,1.16,1.68,5.62,4.31,5.84,3.5
rufo,5,f,1.62,1.34,1.16,1.72,5.77,4.53,6.21,3.72
rufo,5,f,1.48,1.18,1.04,1.7,5.48,4.2,5.58,3.29
rufo,5,f,1.52,1.24,1.1,1.68,5.55,4.05,5.58,3.29
rufo,5,f,1.66,1.3,1.08,1.7,7.39,4.16,5.69,3.31
rufo,5,f,1.64,1.3,1.12,1.72,5.62,4.42,5.88,3.72
rufo,5,f,1.68,1.34,1.1,1.64,5.84,4.6,6.28,3.8
rufo,5,f,1.52,1.12,1,1.72,5.62,4.16,5.8,3.47
rufo,5,f,1.7,1.3,1.08,1.96,5.91,4.64,6.5,3.91
rufo,5,m,1.6,1.28,1.04,1.76,5.69,4.38,5.99,3.43
rufo,5,m,1.56,1.32,1.12,1.8,5.91,4.49,6.17,3.5
rufo,5,m,1.72,1.28,1.06,1.76,5.69,4.31,5.84,3.54
rufo,5,m,1.6,1.16,1,1.74,5.55,4.23,5.99,3.58
rufo,5,m,1.72,1.34,1.14,1.78,5.66,4.45,5.95,3.72
rufo,5,m,1.72,1.36,1.16,1.82,5.88,4.53,6.13,3.87
rufo,5,m,1.52,1.2,1.06,1.72,5.62,4.2,5.91,3.25
rufo,5,m,1.6,1.3,1.06,1.74,5.58,4.2,5.91,3.5
rufo,5,m,1.72,1.4,1.16,1.62,5.84,4.45,6.21,3.65
rufo,5,m,1.76,1.36,1.12,1.7,5.62,4.23,6.17,3.58
rufo,6,f,2.18,1.48,1.4,1.82,8.5,6.63,10.03,6.12
rufo,6,f,2.2,1.76,1.36,1.96,8.33,6.8,10.03,5.91
rufo,6,f,2.2,1.56,1.36,2,8.67,6.63,10.37,6.12
rufo,6,f,2.24,1.8,1.36,2,8.67,7.06,10.5,6.38
rufo,6,f,2.32,1.66,1.36,1.92,8.5,6.8,10.54,6.42
rufo,6,f,2.04,1.52,1.26,2,8.33,6.63,9.78,5.78
rufo,6,f,2.08,1.62,1.22,1.8,7.82,6.25,9.1,5.78
rufo,6,f,2.16,1.58,1.26,1.96,8.59,6.63,9.86,5.19
rufo,6,f,2.36,1.63,1.3,2,8.76,6.8,10.2,6.63
rufo,6,f,2.32,1.76,1.44,2,8.84,6.97,10.03,6.42
rufo,6,m,2.22,1.68,1.26,1.94,8.84,7.14,10.46,6.67
rufo,6,m,2.32,1.64,1.16,1.88,8.03,6.12,9.35,5.44
rufo,6,m,2.38,1.73,1.18,1.96,8.33,6.29,10.03,5.61
rufo,6,m,2.68,1.8,1.44,2.04,8.67,6.97,10.54,6.29
rufo,6,m,2.48,1.9,1.42,2,8.59,6.8,10.71,6.63
rufo,6,m,2.22,1.7,1.2,1.94,7.61,6.16,9.27,5.27
rufo,6,m,2.44,1.84,1.33,1.94,8.33,6.63,10.2,6.12
rufo,6,m,2.52,1.92,1.32,1.88,8.37,6.38,10.2,6.08
rufo,6,m,2.12,1.7,1.2,1.89,7.52,6.12,9.44,6.25
rufo,6,m,2.1,1.6,1.09,1.84,7.65,5.7,9.01,5.44
,,,,,,,,,,
