ags1,ags2,ags3,ags4,ags5,ags6,ags7,ags8,ags9,ags10,ags11,ags12,ats1,ats2,ats3,ats4,ats5,ats6,ats7,ats8,ats9,ats10,ats11,ats12,ats13,ats14,ats15,ats16,ats17,ats18,ats19,ats20,ats21,ats22,ats23,ats24,ats25,ats26,ats27,ats28,ats29,ats30,ats31,ats32,ats33,ats34,ats35,ats36,ats37,ats38,ats39,ats40,ats41,ats42,ats43,ats44,ats45,ats46,ats47,ats48,ats49,ats50,ats51,ats52,ats53,ats54,ats55,ats56,ats57,ats58,ats59,ats60,ats61,ats62,ats63,ats64,ats65,ats66,ats67,ats68,ats69,ats70,ats71,ats72,ats73,ats74,ats75,ats76,ats77,mps1,mps2,mps3,mps4,mps5,mps6,mps7,mps8,mps9,mps10,mps11,mps12,mps13,mps14,mps15,mps16,mps17,mps18,mps19,mps20,mps21,mps22,mps23,mps24,mps25,mps26,mps27,mps28,mps29,mps30,mps31,mps32,mps33,mps34,mps35,mps36,mps37,mps38,mps39,mps40,mps41,mps42,mps43,mps44,mps45,asiq1,asiq2,asiq3,asiq4,asiq5,asiq6,asiq7,asiq8,asiq9,asiq10,asiq11,asiq12,asiq13,asiq14,asiq15,asiq16,asiq17,asiq18,asiq19,asiq20,asiq21,asiq22,asiq23,asiq24,asiq25,gender,ags_map,ags_mav,ags_pap,ags_pav,asiq_score,ats_fear,ats_frus,ats_sad,ats_disc,ats_actc,ats_attc,ats_inhc,ats_soci,ats_hip,ats_posa,ats_nps,ats_aps,ats_asso,ats_nega,ats_effc,ats_ext,ats_ori,mps_self,mps_oth,mps_spr,ags_mastery
6,5,6,6,6,6,6,6,6,6,6,6,3,2,6,6,4,5,2,1,3,2,2,7,6,2,6,2,5,5,1,2,5,3,2,3,2,5,6,3,2,1,2,5,2,2,6,2,5,6,5,2,2,2,6,7,5,6,6,5,3,2,2,6,5,3,6,5,3,2,7,5,6,3,2,1,2,2,5,2,2,3,4,3,5,6,2,5,6,7,3,5,6,2,5,6,2,5,5,6,2,5,6,6,6,6,6,5,6,5,5,6,3,6,6,4,6,5,3,2,6,3,4,3,1,2,4,6,7,3,7,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18,17,18,18,0,3.571428,4.166666,3,4.166666,4.285714,3.2,4.285714,3.8,3.428571,3.4,3.8,3.6,3.8,3.692307,4,3.529411,3.733333,77,68,60,35
5,4,6,6,4,5,5,6,6,6,5,5,7,3,7,7,4,2,2,3,2,2,6,NA,4,3,5,4,2,6,2,3,5,2,6,5,5,2,3,5,3,5,6,2,3,4,5,2,4,6,7,7,7,3,2,3,7,7,8,5,5,3,3,4,5,2,5,6,2,2,3,7,5,3,4,5,4,6,4,2,3,5,3,6,6,7,2,2,3,7,5,5,5,4,6,3,1,6,6,5,1,3,5,5,4,7,3,5,5,5,5,5,5,6,5,3,5,6,6,3,3,3,5,3,3,5,1,3,5,3,5,5,5,5,5,5,2,2,3,2,2,4,5,5,6,4,2,1,2,2,2,6,3,1,4,4,2,2,5,2,14,14,17,18,33,NA,3.833333,4.428571,3.166666,3.571428,4.4,4,4,4.285714,5.2,3.4,4.2,5.8,NA,3.947368,4.470588,4.466666,68,68,63,28
5,4,5,6,7,7,6,4,5,5,4,6,6,1,7,7,2,5,7,1,2,2,6,6,6,5,6,3,5,6,6,2,6,2,3,5,5,3,3,6,4,1,2,5,3,2,5,6,3,6,7,6,5,3,7,3,5,5,6,3,5,5,3,5,6,7,7,2,7,3,6,3,6,7,5,2,5,3,3,3,6,2,3,5,2,5,2,6,7,5,6,5,7,2,2,1,2,6,7,7,3,3,6,1,6,3,5,2,1,7,5,7,5,1,1,5,4,1,7,1,6,1,7,3,2,1,3,2,5,1,7,5,2,7,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,18,17,14,15,0,4,4,3.285714,5.666666,4.142857,4.4,5.142857,4.4,3.571428,4.6,3.8,5.6,5.8,4.192307,4.578947,4.117647,5.066666,61,66,49,35
6,6,6,7,7,6,6,7,7,7,6,6,6,5,7,6,3,6,8,6,2,2,1,6,7,3,5,7,5,5,7,2,6,1,5,6,7,5,3,2,7,5,2,7,6,2,1,6,3,6,6,7,6,6,1,2,7,6,1,7,6,7,7,6,7,6,2,6,2,5,3,5,7,6,5,4,6,2,3,2,4,3,6,3,2,3,2,3,2,6,7,5,6,2,6,3,1,7,6,2,2,3,6,5,5,6,4,6,5,6,6,5,6,3,2,2,6,3,6,1,3,4,3,2,3,2,5,3,6,2,6,5,7,7,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,1,2,2,2,2,2,2,2,19,18,19,21,1,4.428571,5.166666,4.571428,5.666666,3.571428,5,3.857142,4.4,2.857142,5,5.2,4,5.4,4.923076,4.052631,3.941176,4.866666,69,74,54,37
7,7,6,7,7,7,7,7,7,7,6,7,3,1,7,5,5,3,2,1,4,3,1,1,6,2,5,5,6,5,3,3,5,5,5,6,5,3,4,6,7,1,5,2,7,8,2,6,6,4,6,6,5,3,3,1,1,5,4,5,6,6,1,3,6,2,7,2,2,6,2,6,5,5,2,5,4,2,3,2,6,2,3,5,3,5,6,4,2,5,4,4,6,2,5,2,2,6,5,6,3,4,6,5,6,6,6,4,5,6,1,6,3,3,4,5,5,3,5,2,6,3,6,6,1,1,6,6,7,2,6,4,6,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,21,21,19,21,0,3.285714,4.833333,2.714285,3.333333,3.857142,5.2,3.571428,3.8,2.714285,5.2,4.2,4.2,5.4,3.5,4.105263,3.764705,4.6,74,59,64,42
6,4,5,6,6,4,4,5,5,5,4,5,5,5,5,6,4,2,5,5,3,6,2,7,5,2,6,2,6,5,6,2,5,6,3,7,5,5,6,4,5,2,6,5,5,3,5,8,5,5,6,6,5,3,3,1,4,3,7,4,4,3,4,5,7,4,6,3,5,5,5,3,5,2,4,4,4,5,4,2,5,3,3,4,4,3,2,3,2,5,2,2,3,4,4,4,3,4,2,4,3,4,4,5,7,7,4,1,5,6,4,5,3,3,3,3,7,3,6,2,7,1,4,2,1,2,7,2,7,1,6,3,6,3,2,2,1,1,1,1,2,2,2,1,1,2,1,2,1,2,2,2,1,1,1,1,2,2,1,2,16,13,14,16,0,4.428571,4.666666,3.428571,3.833333,5.571428,4.6,3.857142,4,3,3.6,4.8,5,4.6,4.076923,4.68421,3.470588,4.8,73,50,51,29
5,4,7,7,7,4,7,3,7,3,5,4,6,2,7,7,5,1,8,5,7,1,7,7,7,1,6,5,7,5,7,2,7,NA,7,7,6,7,6,5,2,8,7,7,1,1,4,7,6,4,5,4,5,3,3,2,5,2,4,4,6,2,2,5,5,7,5,2,7,3,1,3,5,7,7,4,7,4,6,4,7,3,1,4,5,6,4,6,3,7,1,1,2,2,4,3,2,4,4,7,2,2,3,3,7,7,7,3,3,7,4,4,3,5,3,3,7,5,5,4,7,3,4,4,1,3,3,5,7,4,7,3,5,5,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,1,1,2,2,2,19,12,19,13,0,NA,4.333333,4.285714,5.333333,4.571428,3.4,5.428571,4.4,3,5.2,3,6,6,NA,4.578947,4.058823,5,68,50,67,31
7,7,7,7,7,7,7,7,7,7,7,7,5,1,7,7,5,1,3,1,4,1,6,4,7,2,5,5,7,7,7,2,7,4,1,7,7,6,5,5,7,1,6,7,2,3,5,6,NA,7,7,7,7,6,3,2,7,5,4,7,5,3,5,6,7,2,5,5,6,3,7,5,5,7,1,4,2,1,7,4,5,5,6,7,4,7,1,3,1,7,1,2,3,6,6,7,1,4,3,7,1,2,7,6,7,5,6,1,7,5,7,6,2,6,7,4,7,5,7,6,7,5,1,3,1,1,3,6,7,5,7,2,7,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,3,3,2,2,2,2,2,2,21,21,21,21,4,4,5.166666,4.285714,5.833333,4,5.4,4.428571,NA,2.285714,5.4,4.4,5.2,7,4.76923,4.526315,NA,5.533333,76,55,76,42
6,5,7,7,7,5,6,7,7,7,7,5,7,6,7,7,3,1,6,5,7,3,5,7,7,2,3,5,7,6,7,1,5,7,1,7,7,6,3,6,6,5,7,7,5,1,2,7,2,2,6,7,7,5,1,2,7,6,3,7,7,7,7,6,7,4,3,6,7,1,7,6,7,7,7,3,7,3,7,2,7,2,1,7,7,7,1,6,1,7,7,6,5,7,7,3,1,4,6,7,1,6,7,7,6,7,7,3,7,3,3,6,4,4,5,3,7,5,4,3,7,3,1,4,1,2,7,7,7,2,7,5,3,6,2,2,2,2,2,2,5,5,2,2,2,2,2,2,2,4,2,4,4,4,2,2,2,2,2,2,19,15,21,21,14,5.428571,4.166666,5.142857,6.166666,4.285714,5,5.428571,4.8,3.571428,5.4,4,6,6.8,5.230769,4.894736,4.470588,5.6,80,74,66,34
7,7,5,7,7,7,7,7,7,7,6,7,2,7,5,7,6,3,7,6,7,3,5,3,7,1,3,5,6,7,7,7,5,1,1,7,5,2,2,6,6,2,2,5,4,2,2,6,7,3,7,6,7,2,1,1,4,3,5,2,6,5,3,1,2,5,2,2,5,4,7,5,7,7,1,1,5,1,5,2,3,2,4,3,7,6,7,7,7,7,4,4,5,4,6,4,1,3,5,4,2,3,7,NA,6,7,4,3,5,5,3,5,3,2,3,4,7,2,7,1,7,4,3,4,1,1,5,5,7,5,7,3,7,1,1,2,2,1,2,1,2,2,1,1,1,1,1,1,1,2,2,2,1,1,1,2,1,1,1,2,21,21,18,21,0,3.571428,3.333333,4.571428,5.333333,4,5,3.285714,4.6,3.714285,4.8,3.4,4.6,6.8,4.192307,4,4.294117,4.933333,NA,55,59,42
6,5,5,6,7,6,6,4,5,4,5,5,7,5,6,7,3,2,6,2,2,2,6,1,7,5,7,6,7,6,4,1,6,4,2,6,6,3,7,4,3,1,3,6,1,2,5,6,4,5,7,2,7,6,5,1,7,5,6,5,4,3,6,5,3,6,7,5,6,4,6,3,6,7,2,2,4,2,4,3,5,6,2,5,6,4,2,4,1,7,2,4,5,2,5,1,1,3,5,7,2,5,7,5,6,7,6,4,5,6,3,5,2,7,2,1,5,3,5,6,7,5,2,5,1,4,5,6,7,6,6,4,5,3,4,2,2,2,2,1,4,4,2,3,2,3,2,2,2,2,3,5,2,2,1,1,1,2,1,2,19,16,15,14,12,4.142857,4.333333,3.857142,6.166666,5.571428,3.2,3.714285,4.4,2.714285,5.2,3.2,5.2,6.2,4.576923,4.263157,3.941176,4.866666,72,50,78,35
6,6,6,7,7,5,6,4,6,5,4,5,5,3,6,6,2,6,3,3,3,3,6,5,7,3,6,5,3,6,5,1,6,3,5,5,3,5,5,3,2,2,2,5,5,3,5,6,6,6,3,3,3,3,3,2,2,2,3,3,5,3,1,6,7,5,3,1,5,3,3,3,6,3,5,5,5,1,3,3,3,2,2,2,4,5,3,6,5,1,1,7,4,1,1,1,7,7,7,7,7,1,1,1,7,7,1,1,1,7,4,7,4,1,1,1,1,1,7,1,1,1,7,1,1,1,7,1,7,1,4,1,7,1,1,1,2,1,1,1,2,2,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,19,16,16,16,0,3.714285,3.833333,2.571428,4.666666,3.571428,3,5,3.8,3.714285,4.2,4.4,4.4,3.8,3.653846,3.947368,3.882352,4.2,54,48,45,35
4,3,5,5,6,5,5,2,4,4,3,3,1,4,7,5,7,4,6,5,6,5,5,2,5,5,3,5,4,3,2,2,1,2,4,5,7,5,3,4,3,2,5,4,6,4,2,5,5,4,6,5,7,3,5,1,6,5,3,3,5,5,6,3,4,5,2,5,1,3,2,4,5,3,3,4,4,5,6,6,2,3,2,5,3,5,6,6,7,3,5,6,7,1,6,5,2,3,5,4,2,3,4,3,5,3,3,3,3,5,2,5,6,2,3,3,5,2,6,2,5,3,5,3,2,2,5,2,5,2,2,6,6,5,2,2,2,1,1,1,3,2,1,2,1,1,1,1,1,2,2,2,1,1,1,1,2,1,1,1,15,11,12,11,1,4,3.833333,4.857142,4,3.571428,4.4,4.571428,4.6,3.857142,4.8,3.4,3.2,5.2,4.192307,4.157894,4.352941,3.933333,55,68,47,26
6,7,5,7,5,4,6,4,4,4,4,6,6,5,7,7,1,4,6,1,2,6,7,2,5,2,5,4,4,4,4,3,5,1,1,7,5,4,4,7,1,3,4,6,4,3,5,6,5,7,7,7,7,4,6,5,4,5,4,3,6,4,5,6,3,4,5,3,4,3,5,4,5,4,3,5,3,4,6,2,4,3,4,4,4,5,3,4,4,6,5,2,5,6,5,3,1,7,3,6,4,4,5,3,5,7,4,3,3,7,5,4,3,3,5,3,7,4,7,4,6,2,3,1,1,1,6,1,7,3,6,4,7,4,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,17,17,13,15,0,3.428571,4.166666,3.285714,5.333333,4,3.6,4.428571,4.4,4,5.4,5,4.2,6,4,4.052631,4.529411,5.066666,68,60,63,34
5,5,7,6,5,5,5,6,6,6,6,5,7,6,7,6,5,2,5,5,1,5,2,6,6,5,5,7,5,6,5,1,5,6,5,6,7,1,5,5,5,5,5,6,2,2,3,5,6,5,6,6,7,3,3,2,7,5,3,6,6,6,6,5,6,5,6,6,5,2,3,5,5,6,6,3,5,2,7,2,6,3,2,6,6,4,2,3,3,6,1,3,2,7,5,4,2,2,3,6,1,6,5,5,5,5,5,3,6,2,4,7,6,5,5,3,5,5,5,5,5,5,3,7,3,1,6,5,5,6,6,5,3,3,2,2,2,1,2,1,6,4,2,3,1,2,2,1,2,2,2,3,1,1,1,2,3,2,1,2,15,15,19,18,9,4.857142,4.166666,4.142857,4.666666,5.142857,5,3.714285,5.6,4.142857,5.6,3.8,5,5.8,4.461538,4.578947,5,4.866666,69,58,70,30
6,6,7,7,7,7,7,7,7,7,7,7,7,1,3,7,3,3,1,8,3,1,7,7,7,2,7,1,8,3,8,2,7,7,1,7,1,2,7,1,1,1,7,1,4,2,6,2,2,3,2,7,5,1,1,7,1,5,7,4,7,2,7,1,7,6,6,1,1,7,7,3,4,6,2,1,5,6,3,5,3,1,6,2,2,6,3,7,6,5,4,3,3,5,3,5,3,3,3,5,1,7,6,4,6,7,7,3,4,4,6,6,4,6,4,5,5,3,3,7,7,5,2,5,2,1,5,6,7,7,7,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,20,20,21,21,0,5.714285,4,2.142857,4,4.285714,3.8,4.142857,2.4,2.714285,2.6,3.8,4,5.2,3.961538,4.105263,2.588235,4.333333,69,59,73,40
4,1,1,2,7,5,7,1,2,1,1,1,6,7,7,5,6,1,1,1,2,1,1,6,1,1,3,6,3,6,7,1,5,1,5,6,3,6,2,7,5,4,7,7,1,5,7,7,7,1,7,2,7,2,3,1,1,7,2,NA,3,3,1,1,5,2,1,1,5,6,3,6,5,7,6,6,1,3,7,3,1,1,2,1,7,NA,7,3,1,5,1,1,6,1,7,7,1,5,5,7,2,7,7,7,7,7,7,1,7,7,7,6,1,7,7,7,7,7,7,1,6,5,1,2,1,1,5,7,7,1,6,1,7,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,18,7,4,4,0,4.142857,NA,2,4.333333,2.428571,4.6,4.285714,5.8,3.571428,4.8,2,3.2,NA,NA,3.68421,4.588235,NA,77,64,72,25
5,2,5,NA,4,5,5,5,5,5,5,4,5,3,5,7,4,2,4,5,3,2,4,6,6,5,5,5,6,5,3,3,5,3,1,5,5,3,3,4,6,4,6,6,5,3,3,6,5,NA,7,6,6,5,5,1,3,2,2,5,5,5,5,3,2,NA,6,4,2,6,7,3,5,7,1,5,5,3,4,2,2,2,2,5,5,2,2,3,6,5,5,7,7,6,3,2,4,7,5,6,3,5,4,4,4,5,5,3,3,7,3,5,3,3,2,3,3,2,7,4,5,3,5,5,3,2,6,2,5,5,5,4,6,5,2,2,2,1,1,1,1,2,2,1,1,2,1,2,1,2,1,3,1,1,1,1,1,2,1,2,14,11,15,NA,1,4,NA,3.714285,NA,4.142857,4.8,3,3.8,3.714285,4.2,3.4,3.6,5.4,NA,3.894736,3.882352,4.133333,62,61,73,25
7,7,1,3,7,7,7,1,5,1,4,7,2,7,7,1,2,6,6,4,2,2,5,5,6,4,7,2,1,7,2,1,6,2,2,7,3,6,6,5,4,1,2,5,2,1,6,4,5,7,3,7,5,3,6,2,2,4,4,1,6,5,2,2,5,3,6,2,3,2,6,5,5,4,1,2,6,2,6,5,8,2,6,5,1,5,6,7,6,7,3,7,2,3,7,4,1,7,2,7,1,2,7,1,7,7,1,1,7,7,2,7,2,1,2,5,4,2,7,1,7,1,7,1,2,2,7,1,7,6,1,1,7,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,21,21,10,5,0,3.857142,3.166666,2.428571,3.666666,5.571428,4.8,5,4.2,2.857142,4.4,3.6,3.6,4.8,3.26923,5.157894,3.705882,4,73,49,54,42
