CL,EXPECTED
15.5,-1.19837970230692
16.4,-0.967421566101701
17.1,-0.539207639325099
16.8,-0.615141104595974
18.3,-0.395725295814487
15.7,-1.07572272256151
26.9,1.19837970230692
22,0.466265261370636
21.3,0.25998960123107
29.8,1.34233568007726
18.4,-0.327103316347528
16.6,-0.779139683672991
16.6,-0.694801852365364
14,-1.52121804642593
19.4,-0.128901111149042
19.9,-0.0643168351238744
20.6,0.0643168351238744
21.5,0.327103316347528
25.5,0.967421566101701
24.5,0.779139683672991
22.4,0.615141104595973
26.4,1.07572272256151
20.5,0
13.4,-1.76882503851871
13,-2.23160583526092
18.7,-0.194028142423926
24.6,0.869423773288886
78.8,2.23160583526092
63.6,1.76882503851871
22.3,0.5392076393251
18.6,-0.259989601231070
14.9,-1.34233568007726
17.8,-0.466265261370636
34.4,1.52121804642593
24.4,0.694801852365364
21.9,0.395725295814487
16.4,-0.869423773288886
21,0.194028142423926
20.9,0.128901111149042
